Title,Number of Players,Length of Play,Age Rating,Style of Game
Disney Villainous,2-6 Players,45-120 min,10+,Board
Marvel Villainous: Infinite Power,2-4 Players,45-80 min,12+,Board
Disney Villainous: Wicked to the Core,2-3 Players,40-60 min,10+,Board / Expansion
Disney Villainous: Evil Comes Prepared,2-3 Players,40-60 min,10+,Board / Expansion
Disney Villainous: Perfectly Wretched,2-3 Players,40-60 min,10+,Board / Expansion
Marvel Villainous: Mischief & Malice,2-3 Players,45-80 min,12+,Board / Expansion
Saboteur: The Lost Mines,3-9 Players,45 min,10+,Board / Card
Century: Golem Edition,2-5 Players,30-45 min,8+,Board / Card
Pandemic,2-4 Players,45 min,8+,Board
Harry Potter: Hogwarts Battle,2-4 Players,30-60 min,11+,Board / Card
Sequence (Tin Edition),2-12 Players,30 min,7+,Board / Card
Codenames,2-8+ Players,15 min,14+,Card / Party
Saboteur,3-10 Players,30 min,8+,Card
Forbidden Island,2-4 Players,30 min,10+,Board
Splendor,2-4 Players,30 min,10+,Board / Card
Exit: The Game - The Forbidden Castle,1-4 Players,60-120 min,12+,Puzzle / Escape Room
Double Twelve Mexican Train Dominoes,1-8 Players,30-60 min,8+,Tile / Dominoes
Farkle,2-6 Players,30 min,8+,Dice
Ultimate Werewolf,5-75 Players,30 min,8+,Card / Party
Uno Flip!,2-10 Players,15 min,7+,Card
Coup,2-6 Players,15 min,10+,Card
Coup: Reformation,2-10 Players,15 min,10+,Card / Expansion
Really Loud Librarians,2+ Players,20 min,8+,Board / Party
Happy Little Dinosaurs,2-4 Players,30-60 min,10+,Card
Grandpa Beck's Antiquity Quest,2-6 Players,30-60 min,10+,Card
Cover Your Kingdom,2-6 Players,30-60 min,10+,Card
Ransom Notes,3-6 Players,30-60 min,17+,Party / Word
Rat-a-Tat Cat,2-6 Players,20 min,6+,Card
Cover Your Assets,2-6 Players,15-30 min,7+,Card
Splendor Duel,2 Players,30 min,10+,Card / Board
Play Nine,2-6 Players,20-60 min,8+,Card
Cards Against Humanity,4-20+ Players,30-90 min,17+,Card / Party
Betrayal at House on the Hill (3rd Edition),3-6 Players,60 min,12+,Board
Catan,3-4 Players,60-120 min,10+,Board
Disney The Haunted Mansion: Call of the Spirits,2-6 Players,30 min,8+,Board
Azul,2-4 Players,30-45 min,8+,Board / Tile
Clue,2-6 Players,45 min,8+,Board / Mystery
Dixit,3-8 Players,30 min,8+,Board / Card
Sorry!,2-4 Players,30 min,6+,Board
Apples to Apples Party Box,4-10 Players,30 min,12+,Card / Party
Obscurio,2-8 Players,40 min,10+,Board / Deduction
Queendomino,2-4 Players,25 min,8+,Board / Tile
Secret Hitler,5-10 Players,45 min,17+,Board / Card / Social Deduction
Avatar The Last Airbender: Fire Nation Rising,1-4 Players,45-60 min,10+,Board / Co-op
Battle of the Sexes,2+ Players,30-60 min,Adult,Board / Trivia
Connect 4,2 Players,10 min,6+,Board / Grid
Rubik's Race,2 Players,10 min,7+,Puzzle / Board
Sidekicks,2-4 Players,40 min,8+,Board
7 Wonders,3-7 Players,30 min,10+,Board / Card
Stratego,2 Players,45 min,8+,Board / Strategy
Monopoly,2-8 Players,60-180 min,8+,Board
Telestrations (12 Player Party Pack),4-12 Players,30 min,12+,Board / Party / Drawing
Ticket to Ride,2-5 Players,30-60 min,8+,Board
Watch Ya' Mouth,3-10 Players,30 min,8+,Party
Wingspan: Americas Expansion,1-5 Players,40-70 min,14+,Board / Expansion
Wingspan: Oceania Expansion,1-5 Players,40-70 min,14+,Board / Expansion
Wingspan: Asia Expansion,1-2 Players,40-70 min,14+,Board / Expansion
Yahtzee,1+ Players,30 min,8+,Dice
Here to Slay,2-6 Players,30-60 min,10+,Card
Deer in the Headlights,2+ Players,15-30 min,8+,Card / Dice
Finspan: A Wingspan Game,1-5 Players,40-70 min,10+,Board
Skyjo,2-8 Players,30 min,8+,Card
The Fox in the Forest,2 Players,30 min,10+,Card
Kingdomino,2-4 Players,15 min,8+,Board / Tile
Wingspan,1-5 Players,40-70 min,10+,Board
Bicycle Standard Playing Cards,1-8+ Players,Varies,Any,Card
