Title,Rating,Year Released,Length of Movie,Type,Genre,Image_Path
Accepted,PG-13,2006,93 min,Movie,Comedy,https://m.media-amazon.com/images/M/MV5BMTkzNzY5OTc3Nl5BMl5BanBnXkFtZTcwNjE4NDQzMQ@@._V1_SX300.jpg
Ace Ventura: Pet Detective / Ace Ventura: When Nature Calls (Double Feature),PG-13,1994,182 min,Movie,Comedy,
Adam Sandler 4-Movie Collection,PG-13 / R,2000,Varies,Movie,Comedy,
After Earth,PG-13,2013,100 min,Movie,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_SX300.jpg
The Age of Adaline,PG-13,2015,112 min,Movie,"Drama, Fantasy, Romance","https://m.media-amazon.com/images/M/MV5BMTAzMTQzMTA2MjheQTJeQWpwZ15BbWU4MDk2MTg2MzUx._V1_QL75_UX380_CR0,6,380,562_.jpg"
Annie (Disney),PG,1999,90 min,Movie,Family / Musical,
Avatar: The Last Airbender - The Complete Series,TV-Y7,2005,1470 min,TV,Animation / Action / Fantasy,
Aquaman,PG-13,2018,143 min,Movie,"Action, Adventure, Fantasy","https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_QL75_UX380_CR0,0,380,562_.jpg"
A Quiet Place Part II,PG-13,2020,97 min,Movie,"Drama, Horror, Sci-Fi",https://m.media-amazon.com/images/M/MV5BNjRiYjk4ZmItNGQ5NS00MmRhLTk4Y2EtMGQ1MTYxZWJhYjU0XkEyXkFqcGc@._V1_SX300.jpg
A Quiet Place,PG-13,2018,90 min,Movie,"Drama, Horror, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_SX300.jpg
The Avengers,PG-13,2012,143 min,Movie,"Action, Sci-Fi","https://m.media-amazon.com/images/M/MV5BNGE0YTVjNzUtNzJjOS00NGNlLTgxMzctZTY4YTE1Y2Y1ZTU4XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Avengers: Age of Ultron,PG-13,2015,141 min,Movie,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BODBhYTg1NGQtNGVmNS00ZTdiLThjYTYtZDFkNzRiNTZmNDZjXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Baby Mama,PG-13,2008,99 min,Movie,"Comedy, Romance",https://m.media-amazon.com/images/M/MV5BMTYwNTc1Nzk1N15BMl5BanBnXkFtZTcwNjE4OTI2MQ@@._V1_SX300.jpg
Back to the Future 30th Anniversary Trilogy,PG,1985,342 min,Movie,Adventure / Sci-Fi / Comedy,
Ghostbusters: Afterlife,PG-13,2021,124 min,Movie,"Adventure, Comedy, Fantasy","https://m.media-amazon.com/images/M/MV5BMDJmZmM2NmQtMzhlYi00MGNkLTlhMWUtYjM1MmFlMTA1YTliXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Ghostbusters,PG,1984,105 min,Movie,"Action, Comedy, Fantasy","https://m.media-amazon.com/images/M/MV5BYWE0YzYxNDUtMjk2ZC00NTEyLWE1MjktNzFkMjdjOWEwNTcyXkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg"
Ghostbusters II,PG,1989,108 min,Movie,"Action, Comedy, Fantasy","https://m.media-amazon.com/images/M/MV5BZThjODU5NTMtMWJiNC00NjNkLWJmM2YtM2EzNDg3NjMxYjU5XkEyXkFqcGc@._V1_QL75_UX380_CR0,5,380,562_.jpg"
The Goonies,PG,1985,114 min,Movie,"Adventure, Comedy, Family",https://m.media-amazon.com/images/M/MV5BMjE1OWU4ODEtZmEzMC00NTcwLWFlMWUtYjhlNzExOTIxYzVlXkEyXkFqcGc@._V1_SX300.jpg
Harry Potter Years 5-7 Part 2 (4 Film Favorites),PG-13,2007,538 min,Movie,Adventure / Fantasy,
Harry Potter Years 1-4 (4 Film Favorites),PG / PG-13,2001,601 min,Movie,Adventure / Fantasy,
Halloweentown & Halloweentown II: Kalabar's Revenge,TV-G,1998,84 min,Movie,"Adventure, Comedy, Family",https://m.media-amazon.com/images/M/MV5BZjY3OTVmZjUtYTBjOC00MmRlLTg1OWYtZDNmNTg4MzNhNmFiXkEyXkFqcGc@._V1_SX300.jpg
Halloweentown High,TV-G,2004,82 min,Movie,"Comedy, Family, Fantasy",https://m.media-amazon.com/images/M/MV5BZjg3NTQzNGEtNzllNC00NzE2LWJmOWMtMjNkMmQzMTE2MGEyXkEyXkFqcGc@._V1_SX300.jpg
Happy Gilmore / Billy Madison (Double Feature),PG-13,1995,181 min,Movie,Comedy,
How to Train Your Dragon 2,PG,2014,102 min,Movie,"Animation, Action, Adventure",https://m.media-amazon.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1_SX300.jpg
How to Train Your Dragon 3-Movie Collection,PG,2010,304 min,Movie,Animation / Adventure,
Harold & Kumar Go to White Castle / Escape from Guantanamo Bay,PG-13,2008,90 min,Movie,Comedy,https://m.media-amazon.com/images/M/MV5BMTA3MjE2OTQzNjleQTJeQWpwZ15BbWU3MDIyMDE3NzE@._V1_SX300.jpg
Hidden Figures,PG,2016,127 min,Movie,"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BY2RhNDRhNzctZTllMy00NTc2LWJjZmUtMzg3MTNiNjhhODMxXkEyXkFqcGc@._V1_SX300.jpg
Holiday Inn,Approved,1942,100 min,Movie,"Comedy, Drama, Music",https://m.media-amazon.com/images/M/MV5BMTUyODU0OTUwMF5BMl5BanBnXkFtZTgwMTE4NTQzMjE@._V1_SX300.jpg
Home Alone (Family Fun Edition),PG,1990,103 min,Movie,Comedy / Family,
Dr. Seuss' Horton Hears a Who!,G,2008,86 min,Movie,Animation / Comedy / Family,
